ver
ver
?
2015-07-21 14:58:09  [0, 0] Update More
2015-07-21 15:05:39  [0, 0] Update More
2015-07-21 15:15:31  [80, 35] pw -0
2015-07-21 15:15:31  [80, 35] pw -0
2015-07-21 15:15:31  [80, 0] setfreq 1 -0
2015-07-21 15:15:32  [80, 0] setfreq 1 -0
2015-07-21 15:15:32  [80, 0] setphas 1 -0
2015-07-21 15:15:32  [80, 0] setphas 1 -0
2015-07-21 15:15:32  [80, 0] setfreq 2 -0
2015-07-21 15:15:33  [80, 0] setfreq 2 -0
2015-07-21 15:15:33  [80, 0] setphas 2 -0
2015-07-21 15:15:33  [80, 0] setphas 2 -0
2015-07-21 15:15:34  [80, 35] ud -0
2015-07-21 15:15:34  [80, 35] ud -0
2015-07-21 15:15:39  [80, 35] sy 0
2015-07-22 17:32:33  [80, 35] pw -0
2015-07-22 17:32:33  [80, 35] pw -0
2015-07-22 17:32:33  [80, 0] setfreq 1 -0
2015-07-22 17:32:34  [80, 0] setfreq 1 -0
2015-07-22 17:32:34  [80, 0] setphas 1 -0
2015-07-22 17:32:34  [80, 0] setphas 1 -0
2015-07-22 17:32:35  [80, 0] setfreq 2 -0
2015-07-22 17:32:35  [80, 0] setfreq 2 -0
2015-07-22 17:32:35  [80, 0] setphas 2 -0
2015-07-22 17:32:35  [80, 0] setphas 2 -0
2015-07-22 17:32:36  [80, 35] ud -0
2015-07-22 17:32:36  [80, 35] ud -0
2015-07-22 17:32:41  [80, 35] sy 0
2015-07-22 17:39:47  [80, 35] pw -0
2015-07-22 17:39:48  [80, 35] pw -0
2015-07-22 17:39:48  [80, 0] setfreq 1 -0
2015-07-22 17:39:48  [80, 0] setfreq 1 -0
2015-07-22 17:39:49  [80, 0] setphas 1 -0
2015-07-22 17:39:49  [80, 0] setphas 1 -0
2015-07-22 17:39:49  [80, 0] setfreq 2 -0
2015-07-22 17:39:49  [80, 0] setfreq 2 -0
2015-07-22 17:39:50  [80, 0] setphas 2 -0
2015-07-22 17:39:50  [80, 0] setphas 2 -0
2015-07-22 17:39:50  [80, 35] ud -0
2015-07-22 17:39:51  [80, 35] ud -0
2015-07-22 17:39:56  [80, 35] sy 0
2015-07-22 17:45:07  [80, 35] pw -0
2015-07-22 17:45:07  [80, 35] pw -0
2015-07-22 17:45:08  [80, 0] setfreq 1 -0
2015-07-22 17:45:08  [80, 0] setfreq 1 -0
2015-07-22 17:45:08  [80, 0] setphas 1 -0
2015-07-22 17:45:09  [80, 0] setphas 1 -0
2015-07-22 17:45:09  [80, 0] setfreq 2 -0
2015-07-22 17:45:09  [80, 0] setfreq 2 -0
2015-07-22 17:45:10  [80, 0] setphas 2 -0
2015-07-22 17:45:10  [80, 0] setphas 2 -0
2015-07-22 17:45:10  [80, 35] ud -0
2015-07-22 17:45:11  [80, 35] ud -0
2015-07-22 17:45:16  [80, 35] sy 0
2015-07-22 17:45:33  [1, 0] ?
2015-07-22 17:45:44  [1, 0] gnss 1
2015-07-22 17:49:01  [1, 0] gnss 0
2015-07-22 17:58:11  [80, 35] pw -0
2015-07-22 17:58:11  [80, 35] pw -0
2015-07-22 17:58:11  [80, 0] setfreq 1 -0
2015-07-22 17:58:12  [80, 0] setfreq 1 -0
2015-07-22 17:58:12  [80, 0] setphas 1 -0
2015-07-22 17:58:12  [80, 0] setphas 1 -0
2015-07-22 17:58:13  [80, 0] setfreq 2 -0
2015-07-22 17:58:13  [80, 0] setfreq 2 -0
2015-07-22 17:58:13  [80, 0] setphas 2 -0
2015-07-22 17:58:14  [80, 0] setphas 2 -0
2015-07-22 17:58:14  [80, 35] ud -0
2015-07-22 17:58:14  [80, 35] ud -0
2015-07-22 17:58:20  [80, 35] sy 0
2015-07-22 18:03:59  [0, 0] gnss 1
2015-07-22 18:04:22  [1, 0] gnss 1
2015-07-22 18:06:34  [1, 0] gnss 0
2015-07-29 10:50:13  [80, 0] priority 123311 1
2015-07-29 11:07:55  [80, 0] priority 123412 1
2015-07-29 11:08:00  [80, 0] priority 123412 1
2015-07-29 11:08:52  [80, 0] priority 123412 1
2015-07-29 11:09:08  [80, 0] priority 123412 1
2015-07-29 11:29:56  [80, 0] priority 123412 1
2015-07-29 11:39:46  [80, 0] priority 123412 1
2015-08-03 15:06:02  [80, 35] ud 1
2015-08-04 10:00:00  [80, 0] priority 132412 1
2015-08-04 10:00:21  [80, 0] priority 132421 1
2015-08-07 10:54:37  [80, 0] priority 123412 1
